OBJECTID,TARGET_FID,LandUse_1,Ocupacao,ID_UG,NOME,YY_correct,XX_Correct,Altitude,Declive,Litologia,Relevo,Uso,Espessura,Apt_flor,Solo,Classifica,Perimetro,Area,Hectares,UsoSolo20,Shape_Leng,Shape_Area,HBC,CH,CBD,CC,geometry
127,757,1,EcPb_3_9_3_Pv,836,Castelo de Paiva,154379.276963,-9216.01374302,177.0,16.8833,g,m,i,3,Marginal,Ru6.1,Regossolos,2215.33536062,150156.872407,15.0156872407,Eucalipto,2215.33504367,150156.870494,2.9,0.0,0.0,0.0,"POLYGON ((-8702.644799999893 154274.2117999997, -8663.329599999823 154228.83660000004, -8656.366499999538 154213.16950000077, -8652.746299999766 154205.0240000002, -8633.084800000302 154178.55749999918, -8661.791799999774 154178.25909999944, -8705.149799999781 154132.05269999988, -8761.949900000356 154129.91229999997, -8814.091099999845 154141.22419999912, -8806.36139999982 154201.63680000044, -8880.055100000463 154209.60869999975, -8914.134899999946 154137.4802000001, -8895.256500000134 154096.7313000001, -8885.903800000437 154044.61390000023, -8932.038200000301 154031.65770000033, -8990.960699999705 153990.95419999957, -9043.399000000209 153993.54810000025, -9037.54899999965 154073.89880000055, -9113.079900000244 154141.0022, -9164.710599999875 154197.46270000003, -9168.311999999918 154199.33070000075, -9168.965699999593 154200.04560000077, -9230.432799999602 154231.92750000022, -9276.321800000034 154239.81159999967, -9357.32909999974 154238.74420000054, -9386.753100000322 154286.87230000086, -9390.087899999693 154288.1601999998, -9390.257299999706 154288.43730000034, -9390.42669999972 154288.50269999914, -9391.008899999782 154289.45500000007, -9393.367399999872 154290.36590000056, -9405.569299999624 154294.91669999994, -9423.067099999636 154301.48029999994, -9427.514100000262 154303.14839999937, -9440.32899999991 154307.95529999956, -9447.461600000039 154310.63079999946, -9453.966199999675 154313.0706999991, -9424.256900000386 154326.33530000038, -9399.052500000224 154329.66190000065, -9356.321200000122 154335.30189999938, -9331.302600000054 154329.20020000078, -9285.366200000048 154341.15240000002, -9227.133899999782 154331.1009999998, -9212.933199999854 154336.21990000084, -9186.304999999702 154345.81849999912, -9168.133600000292 154355.9383000005, -9152.431200000457 154364.68310000002, -9152.38580000028 154364.7083999999, -9132.324000000022 154367.26180000044, -9107.845300000161 154378.64719999954, -9099.893000000156 154380.83999999985, -9068.143000000156 154375.5482999999, -9064.383799999952 154378.59139999934, -9040.361600000411 154398.0379000008, -9016.240299999714 154404.2916000001, -9004.642799999565 154407.29839999974, -8943.788599999622 154415.2357999999, -8922.125400000252 154411.41300000064, -8900.838600000367 154407.41919999942, -8859.563500000164 154378.05040000007, -8804.794599999674 154350.26909999922, -8746.850800000131 154305.02520000003, -8710.338200000115 154278.0376999993, -8702.644799999893 154274.2117999997))"
128,758,1,EcEc_3_10_2_Pv,837,Castelo de Paiva,153027.146729,-21569.1258601,151.0,11.6688,x,m,i,4,Marginal,Lu3.1,Leptossolos,2076.93510139,170975.625997,17.0975625997,Eucalipto,2076.9351754,170975.628174,2.9,0.0,0.0,0.0,"POLYGON ((-21086.044400000013 153014.6121999994, -21132.071200000122 153012.51700000092, -21134.110199999996 152958.71829999983, -21059.9243999999 152941.51070000045, -21022.415199999698 152890.14599999972, -21027.9458999997 152837.85789999925, -21015.84279999975 152793.21749999933, -21060.67929999996 152791.60669999942, -21104.681699999608 152769.9933000002, -21146.153800000437 152757.3878000006, -21172.872899999842 152811.99650000036, -21230.930399999954 152771.68500000052, -21276.77730000019 152762.59009999968, -21323.186900000088 152763.86999999918, -21359.47860000003 152706.7907999996, -21416.933100000024 152704.2455000002, -21461.520899999887 152710.38179999962, -21502.770700000226 152686.8099000007, -21526.540199999698 152761.44600000046, -21568.087700000033 152725.6797000002, -21613.999599999748 152698.97159999982, -21641.995900000446 152728.0736999996, -21706.819000000134 152765.11549999937, -21664.485500000417 152790.25100000016, -21616.860500000417 152825.96979999915, -21603.631299999543 152848.45940000005, -21600.985500000417 152886.82410000078, -21644.641800000332 152904.02199999988, -21623.474999999627 152914.60529999994, -21573.20409999974 152959.58469999954, -21533.51659999974 152996.62639999948, -21474.118999999948 153051.79389999993, -21427.683000000194 153079.97030000016, -21377.412100000307 153091.87659999914, -21336.40160000045 153093.1995000001, -21274.224399999715 153082.61610000022, -21208.0784 153062.7723999992, -21153.838700000197 153034.9910000004, -21086.044400000013 153014.6121999994))"
129,759,1,PbPb_3_21_1_Pv,838,Castelo de Paiva,152924.882783,-21301.9266487,197.0,13.6303,x,m,i,4,Marginal,Lu3.1,Leptossolos,1885.37339662,101354.110423,10.1354110423,Eucalipto,1885.37344054,101354.109932,2.9,0.0,0.0,0.0,"POLYGON ((-20873.28029999975 152936.4849999994, -20899.522699999623 152694.96440000087, -20898.094200000167 152686.21949999966, -20942.280899999663 152680.09029999934, -20964.30999999959 152677.03470000066, -21022.745600000024 152689.00500000082, -21069.5839999998 152678.03639999963, -21114.6819000002 152644.07459999993, -21157.89140000008 152626.70240000077, -21198.303999999538 152590.23699999973, -21258.13310000021 152609.57660000026, -21319.654299999587 152625.19769999944, -21371.870299999602 152615.17860000022, -21381.8507000003 152652.7115000002, -21359.47860000003 152706.7907999996, -21323.186900000088 152763.86999999918, -21276.77730000019 152762.59009999968, -21230.930399999954 152771.68500000052, -21172.872899999842 152811.99650000036, -21146.153800000437 152757.3878000006, -21104.681699999608 152769.9933000002, -21060.67929999996 152791.60669999942, -21015.84279999975 152793.21749999933, -21027.9458999997 152837.85789999925, -21022.415199999698 152890.14599999972, -21059.9243999999 152941.51070000045, -21134.110199999996 152958.71829999983, -21132.071200000122 153012.51700000092, -21086.044400000013 153014.6121999994, -21053.92980000004 153016.0742000006, -21008.30150000006 153005.7603999991, -20938.199900000356 153007.66840000078, -20889.06819999963 152989.26019999944, -20873.28029999975 152936.4849999994))"
130,760,1,EcEc_3_4_1_Pv,839,Castelo de Paiva,152188.865009,-22184.9398674,151.0,9.45693,x,o,a,1,Moderada,Tc1.1,Antrossolos,1570.86675934,88041.5806325,8.80415806325,Pinheiro bravo,1570.86663341,88041.5563283,3.0,0.0,0.0,0.0,"POLYGON ((-22079.03019999992 152209.5691999998, -21987.14989999961 152158.7708999999, -21956.525500000454 152141.55089999922, -21901.650799999945 152092.40990000032, -21826.969499999657 152051.35309999995, -21698.485500000417 152019.8339000009, -21634.50289999973 151994.01209999993, -21660.466300000437 151941.4405000005, -21715.740100000054 151943.59919999912, -21786.17140000034 151938.12739999965, -21865.323800000362 151930.59640000015, -21894.033599999733 151897.3783999998, -21929.55449999962 151869.40860000066, -21976.939100000076 151849.62439999916, -21965.689199999906 151902.1342999991, -21962.98699999973 151914.74719999917, -21955.069000000134 151925.81200000085, -21977.62530000042 151935.1202000007, -21997.469100000337 151953.64100000076, -22043.73940000031 151991.0131000001, -22066.26099999994 152009.20370000042, -22137.69849999994 152066.08919999935, -22157.822200000286 152076.15100000054, -22211.25289999973 152102.8663999997, -22247.500900000334 152112.39140000008, -22232.9486999996 152149.43310000002, -22202.52159999963 152191.76659999974, -22183.566899999976 152211.42320000008, -22166.802799999714 152228.80819999985, -22134.876299999654 152229.9548000004, -22079.03019999992 152209.5691999998))"
131,761,1,EcEc_2_3_3_Pv,840,Castelo de Paiva,152302.982524,-20400.8887544,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1191.7200426,73670.9273864,7.36709273864,Eucalipto,1191.72001279,73670.9351659,2.9,0.0,0.0,0.0,"POLYGON ((-19959.89429999981 152178.15780000016, -20011.912499999627 152096.25909999944, -20048.6743999999 152052.77710000053, -20099.938799999654 152009.04050000012, -20177.534300000407 152019.46550000086, -20229.890599999577 152055.71839999966, -20275.164099999703 152111.36370000057, -20296.667299999855 152163.88409999944, -20364.28830000013 152150.24760000035, -20420.096900000237 152181.78140000068, -20377.35879999958 152234.0887000002, -20345.16019999981 152272.25090000033, -20296.240000000224 152303.97140000015, -20244.846499999985 152285.72739999928, -20190.13549999986 152274.7394999992, -20101.716599999927 152279.50950000063, -20063.32299999986 152214.6325000003, -20009.7117999997 152174.72440000065, -19959.89429999981 152178.15780000016))"
132,762,1,EcEc_3_3_3_Pv,841,Castelo de Paiva,152264.076348,-20126.9906612,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1222.09256659,67714.075331,6.7714075331,Eucalipto,1222.09261237,67714.0769213,2.9,0.0,0.0,0.0,"POLYGON ((-19727.04619999975 152188.4978, -19778.963399999775 152131.54539999925, -19820.371799999848 152088.85620000027, -19877.69849999994 152067.52150000073, -19915.808100000024 152028.73760000058, -19939.232400000095 151953.7740000002, -19954.85080000013 151894.53280000016, -20030.60109999962 151934.2536999993, -20099.938799999654 152009.04050000012, -20048.6743999999 152052.77710000053, -20011.912499999627 152096.25909999944, -19959.89429999981 152178.15780000016, -19962.009700000286 152186.83369999938, -19961.62530000042 152186.86020000093, -19973.944699999876 152237.38680000044, -19930.91000000015 152254.18090000004, -19891.751500000246 152301.80590000004, -19856.826500000432 152336.73110000044, -19809.20139999967 152302.86429999955, -19784.859699999914 152265.8225999996, -19744.20380000025 152233.22499999963, -19727.04619999975 152188.4978))"
133,763,1,EcEc_2_3_3_Pv,842,Castelo de Paiva,152170.803686,-20697.406221,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1860.75765298,142885.845992,14.2885845992,Eucalipto,1860.75771214,142885.836278,2.9,0.0,0.0,0.0,"POLYGON ((-20420.096900000237 152181.78140000068, -20364.28830000013 152150.24760000035, -20296.667299999855 152163.88409999944, -20275.164099999703 152111.36370000057, -20229.890599999577 152055.71839999966, -20177.534300000407 152019.46550000086, -20221.049899999984 151958.69940000027, -20191.976400000043 151915.23780000024, -20171.750799999572 151840.50359999947, -20229.340499999933 151860.5072000008, -20287.930399999954 151910.0055999998, -20359.703099999577 151877.2617000006, -20407.732800000347 151886.1853, -20458.734799999744 151898.65860000066, -20513.800800000317 151892.84840000048, -20585.175499999896 151893.59669999965, -20627.189699999988 151923.30729999952, -20654.29040000029 151966.0566000007, -20701.549599999562 151976.6325000003, -20744.154099999927 151955.04780000076, -20771.58389999997 151993.57389999926, -20792.230399999768 152101.59970000014, -20769.8722000001 152158.62859999947, -20693.01850000024 152165.6662000008, -20636.454699999653 152155.0236000009, -20572.954900000244 152155.99770000018, -20504.73909999989 152158.17310000025, -20479.870299999602 152202.09310000017, -20475.08160000015 152259.40550000034, -20420.096900000237 152181.78140000068))"
134,764,1,EcEc_2_3_3_Pv,843,Castelo de Paiva,152095.46325,-19936.3600475,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1598.05287065,134722.598149,13.4722598149,Eucalipto,1598.05277458,134722.587366,2.9,0.0,0.0,0.0,"POLYGON ((-19609.172500000335 152122.0047999993, -19623.86689999979 152101.3479999993, -19594.101200000383 152090.10319999978, -19568.30420000013 152081.50420000032, -19541.845900000073 152089.44170000032, -19525.309399999678 152105.97819999978, -19519.35620000027 152115.9001000002, -19497.52159999963 152111.09390000068, -19483.357499999925 152035.77150000073, -19505.767799999565 151976.1280000005, -19537.610600000247 151891.80560000055, -19571.857900000177 151844.0702999998, -19601.60039999988 151807.35089999996, -19651.20129999984 151767.45299999975, -19707.567300000228 151731.84009999968, -19752.446499999613 151735.7717000004, -19791.41619999986 151761.19060000032, -19830.286700000055 151797.61979999952, -19873.710099999793 151820.16279999912, -19912.431400000118 151850.26219999976, -19954.85080000013 151894.53280000016, -19939.232400000095 151953.7740000002, -19915.808100000024 152028.73760000058, -19877.69849999994 152067.52150000073, -19820.371799999848 152088.85620000027, -19778.963399999775 152131.54539999925, -19727.04619999975 152188.4978, -19744.20380000025 152233.22499999963, -19751.683100000024 152239.22179999948, -19740.06280000042 152242.9846999999, -19714.628999999724 152223.12140000053, -19712.915000000037 152206.81519999914, -19709.85360000003 152177.69099999964, -19673.23139999993 152150.26830000058, -19668.38320000004 152146.18459999934, -19647.67640000023 152128.74300000072, -19609.172500000335 152122.0047999993))"
135,765,1,EcEc_2_Rg_Ad,844,Castelo de Paiva,151843.048437,-20380.1279103,215.0,22.5796,x,m,i,4,Marginal,Lu3.1,Leptossolos,1310.02041997,73383.252188,7.3383252188,Eucalipto,1310.02031348,73383.2493137,2.9,0.0,0.0,0.0,"POLYGON ((-20171.750799999572 151840.50359999947, -20126.727699999698 151785.81289999932, -20073.874200000428 151739.82540000044, -20014.997800000012 151668.83400000073, -19969.500400000252 151587.38979999907, -19919.277999999933 151528.63000000082, -19966.458300000057 151528.81350000016, -20030.112399999984 151529.06120000035, -20073.44799999986 151531.93960000016, -20152.47339999955 151551.71729999967, -20192.338999999687 151574.6037000008, -20209.518199999817 151618.0427000001, -20200.224799999967 151698.3060999997, -20246.832799999975 151703.87710000016, -20289.843500000425 151718.46050000004, -20342.735600000247 151767.49980000034, -20369.333100000396 151831.7491999995, -20359.703099999577 151877.2617000006, -20287.930399999954 151910.0055999998, -20229.340499999933 151860.5072000008, -20171.750799999572 151840.50359999947))"
136,766,1,EcEc_4_3_1_Pv,845,Castelo de Paiva,151892.540215,-19621.455802,158.0,35.0222,x,m,i,4,Marginal,Lu3.1,Leptossolos,2732.7468084,252513.860322,25.2513860322,Eucalipto,2732.74662298,252513.867204,2.9,0.0,0.0,0.0,"POLYGON ((-19244.51370000001 152137.31310000084, -19246.68780000042 152134.41440000013, -19247.441999999806 152133.27070000023, -19251.36419999972 152131.64729999937, -19254.631000000052 152129.8831999991, -19256.920300000347 152128.47800000012, -19261.21439999994 152125.2343000006, -19265.108000000007 152121.74689999968, -19271.74500000011 152115.0446000006, -19274.903599999845 152111.53559999913, -19282.10890000034 152103.54710000008, -19285.569099999964 152099.15880000032, -19288.182599999942 152095.13529999927, -19290.042299999855 152090.97059999965, -19291.88300000038 152085.63209999911, -19292.549700000323 152084.4587999992, -19294.758700000122 152081.96719999984, -19297.36180000007 152078.67940000072, -19299.840499999933 152075.23890000023, -19301.726999999955 152072.20079999976, -19303.56780000031 152068.09149999917, -19305.60599999968 152063.9126999993, -19307.669300000183 152059.02940000035, -19308.359899999574 152057.8655999992, -19310.017500000075 152055.32599999942, -19311.27969999984 152053.20659999922, -19313.366399999708 152049.02820000052, -19314.84219999984 152045.48550000042, -19315.692200000398 152042.63690000027, -19316.237900000066 152041.1132999994, -19317.15510000009 152039.01850000024, -19320.963600000367 152029.88299999945, -19321.968799999915 152026.87810000032, -19323.30979999993 152023.52910000086, -19324.074799999595 152020.92170000076, -19324.933199999854 152017.41530000046, -19326.251199999824 152012.2120999992, -19326.870699999854 152009.03309999965, -19327.289900000207 152006.1333000008, -19327.35319999978 152005.46839999966, -19328.069899999537 152001.9871999994, -19328.471900000237 151999.07100000046, -19329.177699999884 151995.83530000038, -19329.55179999955 151992.81629999913, -19330.451700000092 151988.9955000002, -19331.297500000335 151984.99210000038, -19332.087500000373 151981.5722000003, -19333.012299999595 151978.15110000037, -19334.775899999775 151971.66970000044, -19335.25270000007 151968.77820000052, -19336.052600000054 151965.46639999934, -19336.988699999638 151960.9171999991, -19337.75789999962 151955.6830000002, -19346.992800000124 151931.15100000054, -19351.180999999866 151920.0253999997, -19351.40789999999 151919.42270000093, -19351.40789999999 151907.3058000002, -19351.40799999982 151887.67259999923, -19347.126000000164 151870.8476999998, -19346.203099999577 151857.38379999995, -19343.536600000225 151818.4838999994, -19341.325199999847 151809.19620000012, -19336.3909 151788.70079999976, -19333.499400000088 151777.8021000009, -19329.12270000018 151761.3052999992, -19328.32299999986 151758.2912000008, -19323.137500000186 151752.51490000077, -19319.26090000011 151748.19669999927, -19317.270600000396 151743.65919999965, -19316.330500000156 151742.22030000016, -19314.560499999672 151739.5111999996, -19311.204800000414 151735.8660000004, -19309.376299999654 151734.4428000003, -19309.112499999814 151733.74939999916, -19307.343299999833 151729.93329999968, -19304.34279999975 151724.5906000007, -19301.69269999955 151719.10129999928, -19299.933000000194 151714.56680000015, -19299.735700000077 151713.5270000007, -19296.927500000224 151707.42459999956, -19294.23950000014 151702.4132000003, -19290.209999999963 151696.49569999985, -19288.85850000009 151693.71030000038, -19286.38549999986 151689.87069999985, -19284.348799999803 151687.18500000052, -19280.54330000002 151681.99980000034, -19279.03849999979 151679.51469999924, -19277.572100000456 151677.1503999997, -19275.325400000438 151673.4341000002, -19261.515599999577 151668.99400000088, -19252.404299999587 151662.93510000035, -19247.528300000355 151663.54820000008, -19246.30200000014 151663.70240000077, -19241.40730000008 151660.92870000005, -19226.458200000226 151652.45759999938, -19222.64670000039 151653.4104999993, -19214.27759999968 151655.50269999914, -19213.229100000113 151655.76490000077, -19205.08459999971 151656.9503000006, -19201.47339999955 151657.36280000024, -19198.791500000283 151656.39059999958, -19192.721699999645 151654.09270000085, -19188.92119999975 151652.56149999984, -19183.47860000003 151650.36869999953, -19179.18499999959 151649.12700000033, -19176.684000000358 151648.5923999995, -19168.790199999698 151647.25129999965, -19166.240699999966 151646.1930999998, -19162.232099999674 151644.52930000052, -19158.193799999543 151643.1956999991, -19154.83970000036 151642.57239999995, -19146.23639999982 151638.8314999994, -19135.123800000176 151632.8783999998, -19122.02689999994 151625.33770000003, -19114.48639999982 151619.38460000046, -19106.94570000004 151607.87519999966, -19109.65770000033 151579.16789999977, -19114.949400000274 151553.3708999995, -19121.16830000002 151545.0789999999, -19126.85560000036 151537.4958999995, -19130.384200000204 151526.58940000087, -19134.131699999794 151515.00630000047, -19137.34740000032 151509.53969999962, -19140.746299999766 151503.7614999991, -19151.471599999815 151494.32320000045, -19153.89159999974 151492.1936000008, -19157.28280000016 151489.20930000022, -19163.639899999835 151476.2583000008, -19167.59009999968 151468.21059999987, -19168.411399999633 151466.53749999963, -19169.0270999996 151466.1640000008, -19172.90710000042 151463.36370000057, -19175.99179999996 151460.2826000005, -19177.067200000398 151459.07379999943, -19178.19020000007 151457.9397, -19180.373399999924 151455.9798000008, -19180.805300000124 151455.84899999946, -19184.895100000314 151454.61009999923, -19186.82890000008 151453.93879999965, -19190.20679999981 151452.26600000076, -19193.05999999959 151450.3739, -19196.21490000002 151447.98440000042, -19198.30750000011 151446.19099999964, -19199.351800000295 151445.11470000073, -19199.874200000428 151444.57650000043, -19201.243900000118 151443.06489999965, -19207.09750000015 151441.51710000075, -19208.954300000332 151440.97660000063, -19212.620400000364 151439.64540000074, -19214.433299999684 151438.77899999917, -19217.91839999985 151437.01520000026, -19220.77990000043 151435.3629999999, -19223.6902999999 151433.1997999996, -19225.588100000285 151431.60239999928, -19234.08669999987 151427.45079999976, -19250.60379999969 151419.51219999976, -19252.267900000326 151418.76070000045, -19271.68219999969 151409.99300000072, -19281.621399999596 151404.17940000072, -19284.68460000027 151402.3878000006, -19289.867499999702 151399.3563000001, -19292.716599999927 151397.68979999982, -19293.036799999885 151397.30550000072, -19300.517300000414 151388.32890000008, -19306.83700000029 151380.74540000036, -19312.560499999672 151373.8772, -19318.255900000222 151369.96169999987, -19330.816700000316 151361.57410000078, -19342.949300000444 151349.6841000002, -19345.9972000001 151337.46389999986, -19347.088700000197 151320.89430000074, -19346.8152999999 151314.60749999993, -19358.074500000104 151324.78399999999, -19395.009399999864 151358.16760000028, -19432.992600000463 151400.29419999942, -19453.21789999958 151422.7259999998, -19522.009700000286 151506.33449999988, -19575.68719999958 151550.6350999996, -19587.390499999747 151554.5208999999, -19613.973799999803 151597.07359999977, -19648.898799999617 151622.47360000014, -19663.309000000358 151636.09679999948, -19681.201899999753 151653.01239999942, -19714.04129999969 151684.05859999917, -19752.446499999613 151735.7717000004, -19707.567300000228 151731.84009999968, -19651.20129999984 151767.45299999975, -19601.60039999988 151807.35089999996, -19571.857900000177 151844.0702999998, -19537.610600000247 151891.80560000055, -19505.767799999565 151976.1280000005, -19483.357499999925 152035.77150000073, -19497.52159999963 152111.09390000068, -19502.13009999972 152148.31289999932, -19483.634399999864 152160.49300000072, -19464.13800000027 152145.2435999997, -19449.85049999971 152145.2435999997, -19422.862900000066 152170.64360000007, -19396.19290000014 152213.50620000064, -19353.330299999565 152261.13130000047, -19299.355200000107 152284.94380000047, -19243.792600000277 152288.11879999936, -19227.917500000447 152229.38120000064, -19244.51370000001 152137.31310000084))"
